num_critic_for_reviews,duration,actor_3_fb_likes,actor_1_fb_likes,num_voted_users,cast_total_fb_likes,facenumber_in_poster,num_user_for_reviews,actor_2_fb_likes,imdb_score,movie_fb_likes
376.0,104.0,760.0,12000.0,235025,14863,0.0,265.0,779.0,7.3,44000
366.0,150.0,464.0,894.0,323207,3218,0.0,1439.0,581.0,6.0,0
378.0,165.0,808.0,974.0,242420,3988,2.0,918.0,956.0,5.7,56000
525.0,130.0,11000.0,44000.0,175409,73441,4.0,511.0,15000.0,6.4,60000
495.0,142.0,825.0,15000.0,321227,28631,0.0,1067.0,10000.0,6.7,41000
469.0,125.0,1000.0,12000.0,264183,25550,0.0,665.0,10000.0,6.8,30000
304.0,106.0,776.0,1000.0,101178,4482,0.0,283.0,919.0,6.3,10000
436.0,123.0,326.0,16000.0,223393,17657,2.0,550.0,368.0,5.6,24000
453.0,103.0,721.0,15000.0,544884,19085,3.0,733.0,1000.0,8.3,30000
422.0,118.0,988.0,23000.0,286095,27468,0.0,974.0,3000.0,6.6,0
424.0,140.0,14000.0,26000.0,278232,79150,0.0,657.0,23000.0,7.2,94000
654.0,123.0,1000.0,17000.0,465019,32392,0.0,995.0,11000.0,7.0,129000
539.0,149.0,20000.0,34000.0,514125,91434,7.0,752.0,22000.0,8.0,82000
590.0,132.0,928.0,19000.0,395573,21411,0.0,1171.0,981.0,7.8,92000
338.0,114.0,140.0,979.0,106416,1766,1.0,205.0,557.0,6.3,22000
490.0,143.0,77.0,29000.0,362912,29770,4.0,753.0,509.0,7.3,115000
306.0,116.0,236.0,15000.0,222403,16149,2.0,453.0,567.0,6.6,23000
575.0,131.0,919.0,16000.0,381148,19166,0.0,1106.0,968.0,7.0,83000
428.0,154.0,581.0,894.0,326180,2593,2.0,899.0,829.0,6.3,46000
470.0,122.0,1000.0,11000.0,333847,14959,2.0,2054.0,1000.0,6.2,5000
298.0,93.0,113.0,275.0,62836,696,0.0,345.0,150.0,6.8,20000
488.0,93.0,838.0,2000.0,273556,5005,0.0,428.0,1000.0,7.2,39000
322.0,122.0,105.0,998.0,53607,1327,4.0,432.0,119.0,7.5,30000
421.0,98.0,522.0,1000.0,718837,2975,0.0,1043.0,729.0,8.4,16000
162.0,91.0,173.0,268.0,121084,1125,2.0,221.0,268.0,6.2,0
367.0,158.0,310.0,1000.0,283418,2144,0.0,1055.0,468.0,5.8,13000
240.0,96.0,10000.0,18000.0,72809,48878,0.0,249.0,14000.0,6.8,0
384.0,127.0,13000.0,17000.0,139593,47334,1.0,720.0,15000.0,5.4,44000
